本地编码,药品名称,制剂规格,标准关联状态,待处理原因,是否已有产品
MED-2026-T013-03,防风通圣丸（颗粒）,每丸重 6g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W007-02,阿莫西林克拉维酸钾片,4:1,MISMATCH,缺少具体规格,否
MED-2026-W007-03,阿莫西林克拉维酸钾片,7:1,MISMATCH,缺少具体规格,否
MED-2026-W056,青蒿素类药物常规定制,以国家专项规定为准,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T214,马应龙麝香痔疮膏软膏剂,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T127,鳖甲煎丸,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T031-06,十滴水含樟脑 25mg,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T031-07,十滴水桉油 12.5μl,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T031-05,十滴水每1ml 相当于饮片 0.07g,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T033-03,双黄连20ml,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T033-05,双黄连3.0g,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T033-04,双黄连每 1ml 相当于饮片1.5g,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T033-02,双黄连每支装 10ml（相当于饮片 7.5g）,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-W325-03,司美格鲁肽1.34mg/ml,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-W325-04,司美格鲁肽3ml（预填充注射笔）,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T160-06,宽胸气雾剂内含药 液 4.8g（含挥发油 1.5ml ）,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T160-08,宽胸气雾剂每揿 63mg,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T160-07,宽胸气雾剂每瓶 185 揿,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T160-05,宽胸气雾剂每瓶 内容物重 13.8g,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-W222-06,布地奈德0.2mg,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-W222-08,布地奈德200 吸/ 支,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-W222-07,布地奈德200μg/ 吸,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-W222-04,布地奈德每揿含布地奈德 100μg,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-W222-03,布地奈德每瓶 200 揿,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-W459-04,康柏西普0.05ml/ 支（预充式）,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-W459-03,康柏西普10mg/ml,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T056-09,"强力枇杷膏（蜜炼）、
强力枇杷露含薄荷脑 0.15mg",常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T056-08,"强力枇杷膏（蜜炼）、
强力枇杷露每 1ml 相当于饮片 0. 155g",常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T254-04,珍珠明目滴眼液10ml,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T254-05,珍珠明目滴眼液12ml,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T254-06,珍珠明目滴眼液15ml,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T254-03,珍珠明目滴眼液每瓶（支）装 8ml,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T030-09,藿香正气水含广藿香油0.8μl,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T030-08,藿香正气水含甘草浸膏 10mg,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T030-10,藿香正气水含紫苏叶油 0.4μl,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T030-02,藿香正气水每,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T030-07,藿香正气水每 1ml相当于饮片 0.66g,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T034-03,银黄含黄芩提取物（以黄芩苷计） 24mg,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
MED-2026-T034-02,银黄每 1ml 含金银花提取物（以绿原酸计）2.4mg,常规说明书规格,SUSPENDED,旧导入把规格/成分片段当作药名、具体规格为占位文本、无厂家产品；保留档案和历史，退出启用目录。,否
